fid,ELEV,x,y
34702,17.000000000000000,-58.3696492774,-34.6252340000
34702,17.000000000000000,-58.3696481968,-34.6252419876
34702,17.000000000000000,-58.3694488036,-34.6255041532
34702,17.000000000000000,-58.3694392422,-34.6255114822
34702,17.000000000000000,-58.3691793090,-34.6256401486
34702,17.000000000000000,-58.3689694957,-34.6257809768
34702,17.000000000000000,-58.3689098144,-34.6259258216
34702,17.000000000000000,-58.3687963447,-34.6260504714
34702,17.000000000000000,-58.3689098144,-34.6262610356
34702,17.000000000000000,-58.3689837505,-34.6263199660
34702,17.000000000000000,-58.3690172987,-34.6265894606
34702,17.000000000000000,-58.3691666692,-34.6268589552
34702,17.000000000000000,-58.3691793090,-34.6268672692
34702,17.000000000000000,-58.3694488036,-34.6269198922
34702,17.000000000000000,-58.3697182982,-34.6269046267
34702,17.000000000000000,-58.3699877928,-34.6269496497
34702,17.000000000000000,-58.3702351631,-34.6271284497
34702,17.000000000000000,-58.3702572874,-34.6271373833
34702,17.000000000000000,-58.3705267820,-34.6272308493
34702,17.000000000000000,-58.3707962765,-34.6273366461
34702,17.000000000000000,-58.3708798617,-34.6273979443
34702,17.000000000000000,-58.3710657711,-34.6275460183
34702,17.000000000000000,-58.3713091795,-34.6276674389
34702,17.000000000000000,-58.3710657711,-34.6277449654
34702,17.000000000000000,-58.3708534339,-34.6279369335
34702,17.000000000000000,-58.3707962765,-34.6279831463
34702,17.000000000000000,-58.3706331368,-34.6282064281
34702,17.000000000000000,-58.3706487593,-34.6284759227
34702,17.000000000000000,-58.3707962765,-34.6287113846
34702,17.000000000000000,-58.3708275464,-34.6287454173
34702,17.000000000000000,-58.3709528697,-34.6290149118
34702,17.000000000000000,-58.3707962765,-34.6291276603
34702,17.000000000000000,-58.3705267820,-34.6291532162
34702,17.000000000000000,-58.3702572874,-34.6291161384
34702,17.000000000000000,-58.3699877928,-34.6290549080
34702,17.000000000000000,-58.3697182982,-34.6290427221
34702,17.000000000000000,-58.3695248422,-34.6292844064
34702,17.000000000000000,-58.3697182982,-34.6295275187
34702,17.000000000000000,-58.3697423516,-34.6295539010
34702,17.000000000000000,-58.3699877928,-34.6298166213
34702,17.000000000000000,-58.3699947823,-34.6298233956
34702,17.000000000000000,-58.3702572874,-34.6300056234
34702,17.000000000000000,-58.3703580956,-34.6300928902
34702,17.000000000000000,-58.3703209780,-34.6303623848
34702,17.000000000000000,-58.3702970785,-34.6306318794
34702,17.000000000000000,-58.3702572874,-34.6306595655
34702,17.000000000000000,-58.3700543346,-34.6309013739
34702,17.000000000000000,-58.3699877928,-34.6311387077
34702,17.000000000000000,-58.3699762152,-34.6311708685
34702,17.000000000000000,-58.3699877928,-34.6311850190
34702,17.000000000000000,-58.3702572874,-34.6313645963
34702,17.000000000000000,-58.3705267820,-34.6313923684
34702,17.000000000000000,-58.3707962765,-34.6313535483
34702,17.000000000000000,-58.3710657711,-34.6313682618
34702,17.000000000000000,-58.3711745093,-34.6314403631
34702,17.000000000000000,-58.3712298119,-34.6317098577
34702,17.000000000000000,-58.3712257764,-34.6317810000
34692,16.000000000000000,-58.3667430000,-34.6255763868
34692,16.000000000000000,-58.3667538578,-34.6255769758
34692,16.000000000000000,-58.3668316360,-34.6255114822
34692,16.000000000000000,-58.3669748836,-34.6252419876
34692,16.000000000000000,-58.3669731946,-34.6252340000
34692,16.000000000000000,-58.3695820745,-34.6252340000
34692,16.000000000000000,-58.3695805159,-34.6252419876
34692,16.000000000000000,-58.3694488036,-34.6254151653
34692,16.000000000000000,-58.3693231488,-34.6255114822
34692,16.000000000000000,-58.3691793090,-34.6255826826
34692,16.000000000000000,-58.3689098144,-34.6257583461
34692,16.000000000000000,-58.3688698959,-34.6257809768
34692,16.000000000000000,-58.3686403199,-34.6260258546
34692,16.000000000000000,-58.3686269619,-34.6260504714
34692,16.000000000000000,-58.3686341006,-34.6263199660
34692,16.000000000000000,-58.3686143460,-34.6265894606
34692,16.000000000000000,-58.3686403199,-34.6266126765
34692,16.000000000000000,-58.3689098144,-34.6266864961
34692,16.000000000000000,-58.3690583813,-34.6268589552
34692,16.000000000000000,-58.3691793090,-34.6269384973
34692,16.000000000000000,-58.3694488036,-34.6269830779
